Hasil Kasar,Tahun,Fertilizer_N,Fertilizer_P,Fertilizer_K,NDVI_BOHOR,TMIN_All,TMAX_All,TBase_All,TotalGDD,GDD_Cummulative,RAIN1,TotalSRAD,SRAD_Commulative,SOIL_pH,SOIL_CEC (meq/100),SOIL_OC,Predicted Hasil (experimental)
4.04,2019,104.3,42,62,0.446568,0.712625,0.491349,0.489583,0.717148,0.707384,0.5198,0.705817,0.649758,0.5102394,0.25,0,0.770159
5.01,2019,104.3,42,62,0.443118,0.267558,0.587905,0.489583,0.373165,0.29593,0.275753,0.694362,0.509678,0.5102394,0.25,0,0.263213
6.36,2019,104.3,42,62,0.691032,0.676696,0.392483,0.489583,0.65101,0.611746,0.785513,0.605964,0.561099,0.5102394,0.25,0,0.55214
6.3,2019,104.3,42,62,0.412018,0.34973,0.272366,0.489583,0.312968,0.33715,0.841759,0.164402,0.258278,0.5102394,0.25,0,0.332005
5.34,2019,104.3,42,62,0.10548,0.68873,0.536624,0.489583,0.710738,0.724324,0.583338,0.703008,0.700143,0.5102394,0.25,0,0.678083
4.71,2019,104.3,42,62,0.712671,0.368468,0.439144,0.489583,0.386455,0.349311,0.52605,0.3546,0.303785,0.5102394,0.25,0,0.359522
4.96,2019,104.3,42,62,0.231429,0.695262,0.477951,0.489583,0.696822,0.684523,0.605212,0.599047,0.61131,0.5102394,0.25,0,0.69925
6.68,2019,104.3,42,62,0.738139,0.365889,0.27098,0.489583,0.299053,0.328704,0.809886,0.210871,0.238998,0.5102394,0.25,0,0.426198
5.21,2019,104.3,42,62,0.67254,0.742709,0.489963,0.489583,0.744042,0.735726,0.774784,0.621741,0.682355,0.5102394,0.25,0,0.572249
5.03,2019,104.3,42,62,0.574622,0.42279,1,0.489583,0.62568,0.477257,0.268462,0.752286,0.444248,0.5102394,0.25,0,0.280146
5.09,2019,104.3,42,62,0.641617,0.732222,0.463168,0.489583,0.725435,0.719347,0.718538,0.393504,0.544615,0.5102394,0.25,0,0.726767
4.71629,2019,104.3,42,62,0.65308,0.594982,0.88837,0.504741,0.75262,0.633469,0.433504,0.743954,0.582488,0.494959,0.75,0,0.389067
5.27551,2019,104.3,42,62,0.845679,0.55969,0.767098,0.593476,0.677292,0.567112,0.446507,0.726459,0.570065,0.4061122,0.5,0,0.435861
6.88522,2019,104.3,42,62,0.465482,0.468477,0.50815,0.376885,0.496084,0.461932,0.663437,0.55832,0.458242,0.6227158,0.25,0,0.421344
4.54507,2019,104.3,42,62,0.495939,0.730619,0.228073,0.551857,0.641473,0.693916,0.76499,0.328938,0.547359,0.4481727,0.5,0,0.852504
5.41611,2019,104.3,42,62,0.619556,0.319177,0.645043,0.57592,0.419653,0.334412,0.504425,0.437147,0.293167,0.4240706,0,0,0.25374
4.36323,2019,104.3,42,62,0.983438,0.325995,0.754097,0.102061,0.467034,0.318871,0.285136,0.590046,0.346993,0.8976055,0.25,0,0.216493
5.50754,2019,104.3,42,62,0.259288,1,0.563954,0.335354,1,1,0.684301,0.991714,1,0.6643037,0.25,0,0.894177
6.6245,2019,104.3,42,62,0.96524,0.286845,0.423579,0.624275,0.308903,0.262036,0.788113,0.188917,0.192612,0.3755514,0.5,0,0.159961
5.14768,2019,104.3,42,62,0.425075,0.888289,0.455153,0.479023,0.84812,0.881323,0.719272,0.518869,0.668435,0.521109,0,0,0.951727
4.39605,2020,104.3,42,62,0.613498,0.643585,0.493027,0.464338,0.648211,0.645194,0.645771,0.537907,0.544986,0.5354442,0.5,0,0.587339
5.23892,2020,104.3,42,62,0.526585,0.543734,0.539366,0.209758,0.583284,0.570094,0.574326,0.458846,0.52332,0.7896975,1,0,0.523698
5.76315,2020,104.3,42,62,0.904317,0.647088,0.500405,0.607712,0.645066,0.604862,0.77857,0.438499,0.437401,0.3922495,0,0,0.5252
5.30831,2020,104.3,42,62,0.473067,0.70142,0.458732,0.546619,0.709198,0.683847,0.653687,0.718707,0.698951,0.4528986,0.5,0,0.5944
6.82446,2020,104.3,42,62,0.654615,0.220299,0.317783,0.767328,0.203451,0.18855,0.673374,0.273285,0.218171,0.2328292,0,0,0.262011
6.31124,2020,104.3,42,62,0.65305,0.679591,0.440352,0.142252,0.667089,0.646011,0.828153,0.604189,0.604854,0.8569628,0.25,0,0.502664
5.3102,2020,104.3,42,62,0.672564,0.78247,0.585597,0.307746,0.787184,0.76819,0.698241,0.509129,0.53015,0.6918715,0.5,0,0.780947
5.99332,2020,104.3,42,62,0.707774,0.670042,0,0.435548,0.507983,0.595648,1,0.228669,0.501206,0.5637996,0.75,0,0.738955
5.88586,2020,104.3,42,62,0.818834,0.64791,0.40074,0.423787,0.615912,0.634485,0.924942,0.265471,0.43527,0.5759294,0.5,0,0.566478
4.65011,2020,104.3,42,62,1,0.519824,0.763622,0.574828,0.63581,0.507557,0.468502,0.620358,0.434907,0.4251733,0.25,0,0.301152
4.72714,2020,104.3,42,62,0.356267,0.227598,0.377459,0.619372,0.272069,0.236428,0.324821,0.562092,0.468819,0.3804348,0.75,0,0.299143
4.75926,2020,104.3,42,62,0.715719,0.631122,0.428265,0.374637,0.615239,0.604939,0.622099,0.565506,0.553602,0.6247637,0.75,0,0.630814
5.16232,2020,104.3,42,62,0.39607,0.323015,0.424454,1,0.350367,0.325493,0.451215,0.548018,0.425798,0,0.75,0,0.352316
5.23551,2020,104.3,42,62,0.785456,0.497658,0.568232,0.422275,0.542589,0.484381,0.580158,0.448084,0.393962,0.5775047,0.5,0,0.412536
5.34973,2020,104.3,42,62,0.390789,0.473185,0.644069,0.694983,0.539757,0.494716,0.520711,0.478597,0.385024,0.3049779,0.75,0,0.443995
5.27432,2020,104.3,42,62,0.624204,0.472428,0.252282,0.686274,0.407786,0.442129,0.79797,0.197231,0.296793,0.313327,0.5,0,0.526103
6.14813,2020,104.3,42,62,0.315018,0.635111,0.362638,0.635421,0.603114,0.625815,0.799192,0.479483,0.569364,0.3643667,0.5,0,0.589184
5.44353,2020,104.3,42,62,0.83596,0.320903,0.438835,0.324939,0.329926,0.309786,0.658294,0.404028,0.295328,0.6745432,0.25,0,0.251104
6.11528,2020,104.3,42,62,0.786432,0,0.310805,0.441683,0,0,0.67597,0,0,0.5582861,0.25,0,0.0409877
5.07746,2021,104.3,42,62,0.650866,0.661876,0.687548,0.48603,0.741311,0.635815,0.471012,0.815093,0.613661,0.5137051,0.5,0,0.517016
4.6934,2021,104.3,42,62,0.54683,0.548884,0.631744,0.470066,0.592415,0.566925,0.472991,0.53565,0.421783,0.5294581,0.5,0,0.619558
5.51079,2021,104.3,42,62,0.419889,0.294148,0.868146,0.191906,0.443508,0.353608,0.31454,0.648525,0.332207,0.8073409,0.5,0,0.260555
5.71474,2021,104.3,42,62,0.611027,0.784945,0.491186,0.630913,0.776448,0.770741,0.751172,0.687051,0.711057,0.3689351,0.75,0,0.679991
5.44155,2021,104.3,42,62,0.832092,0.40289,0.345288,0.666319,0.374224,0.37389,0.748407,0.211746,0.264347,0.3336484,0.5,0,0.404025
6.76808,2021,104.3,42,62,0.426678,0.492581,0.50345,0.759613,0.510526,0.495345,0.670349,0.477432,0.459779,0.2402331,0.5,0,0.443713
6.1366,2021,104.3,42,62,0.421038,0.375669,0.684298,0.701073,0.470695,0.400043,0.507594,0.585195,0.401774,0.2985192,0.75,0,0.277659
3.64584,2021,104.3,42,62,0.321514,0.386418,0.874144,0.554471,0.574393,0.454114,0.0966163,0.811575,0.549534,0.4456522,0,0,0.37749
5.79394,2021,104.3,42,62,0.541711,0.376265,0.415944,0.328309,0.377793,0.385318,0.705685,0.26604,0.300386,0.671235,0.25,0,0.385751
5.28824,2021,104.3,42,62,0.649808,0.744743,0.148848,0.419979,0.6205,0.68657,0.919967,0.355923,0.53884,0.5795526,0.75,0,0.783752
5.39667,2021,104.3,42,62,0.288429,0.416799,0.403363,0.552358,0.427474,0.42002,0.540044,0.625557,0.553164,0.4472275,0.5,0,0.389083
4.59317,2021,104.3,42,62,0.523282,0.604613,0.760329,0.323795,0.713815,0.613012,0.436104,0.619915,0.492753,0.6756459,0.75,0,0.487821
